Band,Strand,Substrand,ContentCode,ContentDescription,Elaboration
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K01,"Economic policy, including fiscal and monetary, and the circular flow model of the economy",Distinguishing between fiscal and monetary policy and explaining how each is used to affect the economy
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K01,"Economic policy, including fiscal and monetary, and the circular flow model of the economy","Constructing a poster to illustrate the circular flow and interconnections between government, producers and consumers"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K01,"Economic policy, including fiscal and monetary, and the circular flow model of the economy","Developing a table to show key economic indicators, such as the unemployment rate, gross domestic product (GDP), consumer price index (CPI) and balance of trade, with the definition and use of each explained"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K02,The ways government and the Reserve Bank of Australia intervene in the economy to improve economic performance and living standards,"Investigating the different reasons and means for why and how the government intervenes in the economy, such as by providing a social and legal framework for the community; to maintain competition in the markets; providing public goods and services; income redistribution; and maintenance of economic stability"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K02,The ways government and the Reserve Bank of Australia intervene in the economy to improve economic performance and living standards,"Developing a table to show the different reasons and means for why and how the Australian Government and the Reserve Bank of Australia intervene in the economy, with examples and costs and benefits of each"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K02,The ways government and the Reserve Bank of Australia intervene in the economy to improve economic performance and living standards,"Investigating what the term ‘living standards’ means, considering both the material and non-material aspects; explaining the forces that shape and affect variations in living standards within Australian society, such as unemployment and poverty; identifying why one government may aim to redistribute income and wealth in a certain direction while another may not; and explaining what the government might do to achieve a more equitable distribution of income and wealth, for example income transfers such as pensions, youth allowance and job search, or providing universal health care and education"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K02,The ways government and the Reserve Bank of Australia intervene in the economy to improve economic performance and living standards,"Researching the Reserve Bank of Australia, looking specifically at its role and function within the Australian economy"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K03,Economic indicators as a measurement of economic performance and their influence on economic decision-making,"Investigating what each of the following key economic indicators are, how each is calculated and what each shows about the economy: ‘gross domestic product (GDP)’, ‘share market fluctuations’, ‘unemployment rate’, ‘consumer price index (CPI)’, ‘balance of trade’, ‘interest rates’"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K03,Economic indicators as a measurement of economic performance and their influence on economic decision-making,"Visiting the Australian Bureau of Statistics website to find out the current: population of Australia, CPI, GDP, average weekly earnings and unemployment rate"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K03,Economic indicators as a measurement of economic performance and their influence on economic decision-making,"Visiting the Australian Bureau of Statistics website and using the data by region page to find economic data about different regions in Australia, comparing selected economic indicators, such as population, median income, number of businesses or number of jobs, between 2 local government areas and 2 states, and presenting the data on a table and drawing 5 conclusions based on the data"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K04,The changing patterns of Australia’s international trade and costs and benefits of globalisation,"Examining the currency exchange rates of the Australian dollar over a period of time, analysing the effect of a change in the value of the Australian currency and economy, and investigating how economic conditions within one country affect other nations"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K04,The changing patterns of Australia’s international trade and costs and benefits of globalisation,"Identifying and explaining the costs and benefits of global trade (for example, opportunities to access larger markets and economies of scale, opportunities to sell surplus products, increased consumer choice and lower prices, improved diplomatic relationships between countries, and diversified sources of national income) and comparing these to the negative outcomes of global trade, such as environmental impacts and potential exploitation of workers living in developing economies"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K04,The changing patterns of Australia’s international trade and costs and benefits of globalisation,"Exploring the ethical considerations involved in global trade, such as the implications of offshoring operations and employment, potential exploitation of employees in other nations, differing quality and safety standards between countries"
Levels 9 and 10,Knowledge and Understanding,Economic literacy,VC2HE10K04,The changing patterns of Australia’s international trade and costs and benefits of globalisation,"Analysing current patterns of trade between Australia and different regions of the world, including Asia, for example total value of trade each year, composition of trade (such as category goods, services), direction of trade and how and why these have changed over time"
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations","Researching marketing by looking at case studies of successful marketing campaigns, such as those for Coca-Cola or specific marketing for movies or events, and then examining the importance of the 6 Ps of marketing: product, price, promotion, place, people and presentation"
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations",Examining a list of well-known businesses and identifying the competitive advantage of each
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations",Researching public relations and the different strategies used by businesses to create a positive public image through the use of either contemporary or historical case studies
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations",Examining how globalisation allows multinational (transnational) corporations to take advantage of international supply chains and explaining the advantages or disadvantages of using international supply chains
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations","Identifying and explaining strategies used by Aboriginal and/or Torres Strait Islander-owned businesses to compete successfully in global markets, for example marketing strategies such as branding or the uniqueness of experience, management of cultural and intellectual property and licensing, and collaboration through the First Nations Chamber of Commerce and Industry"
Levels 9 and 10,Knowledge and Understanding,Business and entrepreneurship,VC2HE10K05,"The strategies and tactics used by businesses to create and maintain a competitive advantage, including entrepreneurship, marketing and public relations",Using case studies to illustrate how entrepreneurs can respond successfully to changes in global and domestic economic and market conditions and use technologies to drive innovation
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K06,The use of human resource management to manage and motivate employees and improve business competitiveness,"Identifying and explaining strategies that improve productivity through human resource management, for example workforce training, motivation strategies and recruitment strategies"
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K06,The use of human resource management to manage and motivate employees and improve business competitiveness,"Investigating and developing a flow chart about recruitment and selection processes used by a typical employer, including identifying staffing needs, job applications, selection and recruitment"
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K06,The use of human resource management to manage and motivate employees and improve business competitiveness,Developing a digital resume that could be used as part of a job application process
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K07,The role of trade unions and employer groups in a workplace,Interviewing a union official about their role and researching the history of either a trade union or an employer group
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K07,The role of trade unions and employer groups in a workplace,Researching and constructing a timeline outlining the improvements in employee rights and conditions in Australia
Levels 9 and 10,Knowledge and Understanding,Work,VC2HE10K07,The role of trade unions and employer groups in a workplace,"Researching a specific Australian trade union or employer group, its history and achievements"
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K08,"Managing consumer and financial risks and rewards, including financial scams, smart investment strategies and insurance, considering both legal and ethical implications","Investigating minor and major consumer and financial decisions, such as purchasing a car or property, choosing a bank or choosing a superannuation fund, and listing the factors that influence specific major consumer and financial decisions, such as price, availability, cost of finance, marketing, convenience and ethical and environmental considerations"
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K08,"Managing consumer and financial risks and rewards, including financial scams, smart investment strategies and insurance, considering both legal and ethical implications","Researching and comparing the potential rewards of different types of investment strategies, such as investment in real estate versus shares"
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K08,"Managing consumer and financial risks and rewards, including financial scams, smart investment strategies and insurance, considering both legal and ethical implications","Investigating the different types of insurance available, such as health, motor vehicle, house and contents, and the costs and benefits of each, and then comparing costs of a specific type of insurance between different providers"
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K08,"Managing consumer and financial risks and rewards, including financial scams, smart investment strategies and insurance, considering both legal and ethical implications",Investigating different financial scams and preparing a document detailing how to avoid being scammed
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K09,"Superannuation, what it is, who contributes, its importance and the potential benefits of superannuation to both individual and Australian living standards",Explaining the importance of Australia’s superannuation system for human and financial wellbeing in retirement and the government’s ability to maintain a social security payment system into the future
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K09,"Superannuation, what it is, who contributes, its importance and the potential benefits of superannuation to both individual and Australian living standards",Investigating and calculating the potential costs and benefits of taking out superannuation early to purchase a house
Levels 9 and 10,Knowledge and Understanding,Consumer and financial literacy,VC2HE10K09,"Superannuation, what it is, who contributes, its importance and the potential benefits of superannuation to both individual and Australian living standards","Visiting the Moneysmart website and researching and listing facts about choosing a superannuation fund, different types of superannuation funds, self-managed superannuation, tax and superannuation, and superannuation scams"
Levels 9 and 10,Skills,Investigating,VC2HE10S01,"Develop and modify questions suitable for investigation of contemporary economic, business, work or financial issues","Developing and modifying a range of questions to investigate an economics and business issue, for example ‘How does the government intervene in the Australian economy and are they justified in doing this?’, or formulating a hypothesis to test, such as ‘Australia’s participation in the global economy is of net benefit to all Australians’"
Levels 9 and 10,Skills,Investigating,VC2HE10S01,"Develop and modify questions suitable for investigation of contemporary economic, business, work or financial issues","Developing and modifying a range of questions to improve the focus of an investigation; for example, modifying ‘What factors influence consumer decision-making?’ to ‘What factors influence the choice of a superannuation fund?’"
Levels 9 and 10,Skills,Investigating,VC2HE10S02,"Locate, select, organise and analyse relevant information and data from a range of sources","Researching and modelling different options for making an economic decision (for example, planning a holiday with a designated budget or the costs and benefits of a business owner investing in a new product), considering the costs and benefits of each option, and then drawing a conclusion based on the data and information collected and analysed"
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S03,"Evaluate and use data and information to address economic, business, work or financial issues through recognition of trends and cause-and-effect relationships",Examining how globalisation allows multinational (transnational) corporations to take advantage of international supply chains and explaining the advantages or disadvantages of using international supply chains
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S03,"Evaluate and use data and information to address economic, business, work or financial issues through recognition of trends and cause-and-effect relationships",Collecting and presenting data about the changing trends in the direction and composition of Australian trade and analysing this data to form a conclusion about possible future trends and related investment or career opportunities
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S03,"Evaluate and use data and information to address economic, business, work or financial issues through recognition of trends and cause-and-effect relationships",Examining market research data to explain possible changes in a business’s earning and profit and to suggest changes to the business
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S03,"Evaluate and use data and information to address economic, business, work or financial issues through recognition of trends and cause-and-effect relationships","Identifying and explaining strategies used by Aboriginal and/or Torres Strait Islander-owned businesses to compete successfully in global markets, for example marketing strategies, such as branding or the uniqueness of experience, management of cultural and intellectual property and licensing, and collaboration through the First Nations Chamber of Commerce and Industry"
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S03,"Evaluate and use data and information to address economic, business, work or financial issues through recognition of trends and cause-and-effect relationships",Using case studies to illustrate how entrepreneurs may respond successfully to changes in global and domestic economic and market conditions and use technologies to drive innovation
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S04,Draw logical conclusions based on data and information from verified sources,Investigating the term ‘fake news’ and listing the criteria that information must meet to be considered true
Levels 9 and 10,Skills,Interpreting and analysing data and information,VC2HE10S04,Draw logical conclusions based on data and information from verified sources,"Researching, fact-checking and noting criteria for a trustworthy source"
Levels 9 and 10,Skills,"Evaluating, concluding and decision-making",VC2HE10S05,"Develop and evaluate a response to an economic and business issue, using cost-benefit analysis or criteria","Interpreting economic and business information to draw a logical conclusion and recommend an economic decision; for example, looking at data showing annual profits for a business to make recommendations about whether a business should change the products they produce or the marketing strategies they use"
Levels 9 and 10,Skills,"Evaluating, concluding and decision-making",VC2HE10S05,"Develop and evaluate a response to an economic and business issue, using cost-benefit analysis or criteria","Interpreting multi-variable data to explain economic changes; for example, using data showing change in the direction and composition of Australian international trade over a period of time to explain structural changes in the economy and migration patterns"
Levels 9 and 10,Skills,"Evaluating, concluding and decision-making",VC2HE10S05,"Develop and evaluate a response to an economic and business issue, using cost-benefit analysis or criteria","Conducting a cost-benefit analysis for a personal financial decision, for example the forms of investment that have shown the highest return over the past 10 years, or comparing specific share prices between companies or categories of investment, such as investment in shares versus real estate"
Levels 9 and 10,Skills,"Evaluating, concluding and decision-making",VC2HE10S06,Evaluate sources of data and information to determine authenticity and validity,Noting and checking the source of economics and business data and information and making an informed judgement about the accuracy of the data and information
Levels 9 and 10,Skills,Communicating,VC2HE10S07,"Explain and present arguments about economics and business concepts and issues using subject-specific terminology, with reference to sources","Explaining and presenting arguments about the legitimacy of economic positions, such as ‘Government economic intervention should not occur’ or ‘International trade has costs and benefits’, supported by representations of relevant data, such as visual displays, a graphic organiser or tables and graphs using a range of formats, including verbal explanations, written reports or video recording"
Levels 9 and 10,Skills,Communicating,VC2HE10S07,"Explain and present arguments about economics and business concepts and issues using subject-specific terminology, with reference to sources","Presenting a reasoned argument about an economic or business issue and using a tone appropriate to the purpose; for example, using an authoritative tone when explaining trends shown in data to an audience of peers"
