Subject,Band,AchievementStandardText
Mathematics,FA,"By the end of Foundation Level A, students participate in and respond to structured learning experiences, including counting, sharing, and adding and taking away from collections, in practical situations. Students respond to cause-and-effect experiences. Students participate in and respond to measurement activities through structured routine and non-routine activities and events during the school day. Students observe and experience shapes and objects and respond to the sorting and naming of them. Students respond when the position of their body changes, and when they move to a different environment."
Mathematics,FB,"By the end of Foundation Level B, students identify ‘one’ object and ‘more’ objects, and recognise one or more number names. Students demonstrate an awareness of quantity and use direct comparison to determine ‘more’ and ‘different’ in practical situations, including partitioning and combining collections, sharing collections, and adding to and taking away from collections. Students initiate cause-and-effect experiences. Students identify familiar objects as ‘big’ or ‘little’, using direct comparison in practical situations. They show anticipation in response to routine events when transitioning from one experience to another. Students investigate the attributes of shapes and objects. They use direct comparison to determine if shapes and objects are ‘big’ or ‘little’. Students locate objects or people in a familiar environment."
Mathematics,FC,"By the end of Foundation Level C, students recognise and name groups of at least 5. They use counting strategies to quantify collections to at least 5 and subitise to quantify collections to 3. They compare collections to identify ‘more’ and ‘less’. They communicate the number names from zero to at least 5 using stable number order. They partition and combine collections up to 5 in different ways. Students represent practical situations that involve quantifying and adding, taking away one from a collection up to 5 and equal sharing of a collection. Students copy simple repeating patterns. Students identify the attributes of mass, capacity and length, using direct comparison, in practical situations. They connect familiar events to times of the day. Students name, match and sort familiar shapes and objects based on a single attribute. They describe the location of an object or person in a familiar environment. They follow simple movement instructions. Students compare data collected in response to questions in familiar contexts."
Mathematics,FD,"By the end of Foundation Level D, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 10. They use counting strategies to quantify collections to at least 10 and subitise to quantify collections to 4. Students compare the size of collections to at least 10. They partition and combine collections up to 10 in different ways. Students represent practical situations that involve quantifying, equal sharing between 2, and adding and taking away one from a collection up to 10. Students copy and continue simple repeating patterns. Students identify the attributes of mass, capacity, length and duration using direct comparison in practical situations. They order and connect familiar events to times of the day. Students name, create and sort familiar shapes and objects into like groups and identify familiar shapes in their environment. They describe the position and the location of objects or people in relation to themselves in a familiar space. Students sort and compare data collected in response to questions in familiar contexts."
Mathematics,F,"By the end of Foundation, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20. They use subitising and counting strategies to quantify collections. Students compare the size of collections to at least 20. They partition and combine collections up to 10 in different ways, representing these with numbers. Students represent practical situations, including simple financial situations involving money, that involve quantifying, equal sharing, adding to and taking away from collections to at least 10. Students represent, continue and create simple repeating patterns. Students identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events. They sequence and connect familiar events to the time of day. Students name, create and sort familiar shapes and give their reasoning. They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space. Students collect, sort and compare data in response to questions in familiar contexts."
Mathematics,1,"By the end of Level 1, students connect number names, numerals and quantities, and order numbers to at least 120. They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones. Students partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120. They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies. Students use numbers, symbols and objects, including Australian coins, to create skip counting and repeating patterns, identifying the repeating unit. Students compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating their reasoning. They measure the length of shapes and objects using uniform informal units. Students make, compare and classify shapes and objects using identifiable features. They give and follow directions to move people and objects within a space. Students collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies."
Mathematics,2,"By the end of Level 2, students order and represent numbers to at least 1000; apply knowledge of place value to partition, rearrange and rename two- and three-digit numbers in terms of their parts; and regroup partitioned numbers to assist in calculations. They use mathematical modelling to solve practical additive and multiplicative problems, including money transactions, representing the situation and choosing calculation strategies. Students identify and represent part-whole relationships of halves, quarters and eighths in measurement contexts. Students describe and continue patterns that increase and decrease additively by a constant amount and identify missing elements in the pattern. They recall and demonstrate proficiency with addition and subtraction facts within 20 and multiplication facts for twos. Students use uniform informal units to measure and compare shapes and objects. They determine the number of days between events using a calendar and read time on an analog clock to the hour, half-hour and quarter hour. Students use quarter, half, three-quarter and full measures of turn in everyday situations. Students compare and classify shapes, describing features using formal spatial terms. They locate and identify positions of features in two-dimensional representations and move position by following directions and pathways. Students use a range of methods to collect, record, represent and interpret categorical data in response to questions."
Mathematics,3,"By the end of Level 3, students order and represent natural numbers beyond 10 000, classify numbers as either odd or even, and use the properties of odd and even numbers. They partition, rearrange and regroup two- and three-digit numbers in different ways to assist in calculations. Students extend and use single-digit addition and related subtraction facts and apply additive strategies to model and solve problems involving two- and three-digit numbers. They use a range of strategies to apply mathematical modelling to solve practical problems involving single-digit multiplication and division, recalling multiplication facts for twos, threes, fours, fives and tens. Students represent unit fractions and their multiples in different ways. They represent money values in different ways. They make estimates and determine the reasonableness of financial and other calculations. Students find unknown values in number sentences involving addition and subtraction. They create algorithms to investigate numbers and explore simple patterns. Students use familiar metric units when estimating, comparing and measuring the attributes of objects and events. They identify angles as measures of turn and compare them to right angles. Students estimate and compare measures of duration using formal units of time. Students make, compare and classify objects using key features. They interpret and create two-dimensional representations of familiar environments. Students conduct guided statistical investigations involving categorical and discrete numerical data and interpret their results in terms of the context. They record, represent and compare data they have collected. Students use practical activities, observation or experiment to identify and describe outcomes and the likelihood of everyday events explaining reasoning. Students conduct repeated chance experiments and discuss variation in results."
Mathematics,4,"By the end of Level 4, students use their understanding of place value to represent tenths and hundredths in decimal form and to multiply natural numbers by multiples of 10. Students use mathematical modelling to solve financial and other practical problems, formulating the problem using number sentences, solving the problem choosing efficient strategies and interpreting the results in terms of the situation. They use their proficiency with addition, subtraction, multiplication facts for tens (× 10) and related division facts to perform arithmetic operations to add and subtract, and multiply and divide numbers efficiently. They choose rounding and estimation strategies to determine whether results of calculations are reasonable. They recognise common equivalent fractions in familiar contexts and make connections between fraction and decimal notations. Students count and represent familiar fractions on a number line. Students find unknown values in numerical equations involving addition and subtraction. They follow and create algorithms that generate sets of numbers and identify emerging patterns. Students use appropriate scaled instruments and appropriate units to measure length, mass, capacity and temperature. They measure and approximate perimeters and areas for regular and irregular shapes. They convert between units of time when solving problems involving duration. Students compare angles relative to a right angle using angle names. Students represent and approximate shapes and objects from their environment. Students create and interpret grid references. They identify line and rotational symmetry in plane shapes and create symmetrical patterns. Students create many-to-one data displays, assess the suitability of displays for representing data and informally discuss the shape of distributions and variation in data. They use surveys and digital tools to generate categorical or discrete numerical data in statistical investigations and communicate their findings in context. Students order events or the outcomes of chance experiments in terms of likelihood and identify whether events are independent or dependent. They conduct repeated chance experiments and describe the variation in results."
Mathematics,5,"By the end of Level 5, students use place value to write and order decimals including decimals greater than one. They express natural numbers as products of factors and identify multiples and divisors. Students order and represent, add and subtract fractions with the same or related denominators. They represent common percentages and connect them to their fraction and decimal equivalents. Students use their proficiency with multiplication facts and efficient mental and written calculation strategies to multiply large numbers by one- and two-digit numbers and divide by one-digit numbers. They check the reasonableness of their calculations using estimation. Students use mathematical modelling to solve financial and other practical problems, formulating and solving problems, choosing arithmetic operations and interpreting results in terms of the situation. Students apply properties of numbers and operations to find unknown values in numerical equations involving multiplication and division. They design and use algorithms to identify and explain patterns in the factors and multiples of numbers. Students choose and use appropriate metric units to measure the attributes of length, mass and capacity, and to solve problems involving perimeter and area. Students convert between 12- and 24-hour time. They estimate, construct and measure angles in degrees. Students connect objects to their two-dimensional nets. Students use grid coordinates to locate and move positions. They perform and describe the results of transformations and identify any symmetries. Students plan and conduct statistical investigations that collect nominal and ordinal categorical and discrete numerical data with and without digital tools. Students identify the mode and interpret the shape of distributions of data in context. They interpret and compare data represented in line graphs. Students conduct repeated chance experiments, list the possible outcomes, estimate likelihoods and make comparisons between those with and without equally likely outcomes."
Mathematics,6,"By the end of Level 6, students use integers to represent points on a number line and on the Cartesian plane. They solve problems using the properties of prime, composite, square and triangular numbers. Students order common fractions, giving reasons, and add and subtract fractions with related denominators. They use all 4 operations with decimals and connect decimal representations of measurements to the metric system. Students solve problems involving finding a fraction, decimal or percentage of a quantity and use estimation to find approximate solutions to problems involving rational numbers and percentages. They use mathematical modelling to solve financial and other practical problems involving percentages and rational numbers, formulating and solving the problem, and justifying choices. Students find unknown values in numerical equations involving combinations of arithmetic operations. They identify and explain rules used to create growing patterns. They design and use algorithms to generate sets of numbers, using a rule. Students interpret and use timetables, and measure, calculate and compare elapsed time. They convert between common units of length, mass and capacity. They use the formula for the area of a rectangle and angle properties to solve problems. Students identify the parallel cross-section for right prisms. They create tessellating patterns using combinations of transformations. They locate an ordered pair in any one of the 4 quadrants on the Cartesian plane. Students compare distributions of discrete and continuous numerical and ordinal categorical data sets as part of their statistical investigations, using digital tools. They critique arguments presented in the media based on statistics. Students assign probabilities using common fractions, decimals and percentages. They conduct simulations using digital tools, to generate and record the outcomes from many trials of a chance experiment. They compare observed frequencies to the expected frequencies of the outcomes of chance experiments."
Mathematics,7,"By the end of Level 7, students represent natural numbers in expanded form and as products of prime factors, using exponent notation. They solve problems involving squares of numbers and square roots of perfect square numbers. Students solve problems involving addition and subtraction of integers. They use all 4 operations in calculations involving positive fractions and decimals, choosing efficient mental and written calculation strategies. Students choose between equivalent representations of rational numbers and percentages to assist in calculations and make simple estimates to judge the reasonableness of results. They use mathematical modelling to solve practical problems involving rational numbers, percentages and ratios in spatial, financial and other applied contexts, justifying choices of representation. Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values. They solve linear equations with natural number solutions and verify their solutions through substitution. Students create tables of values relating to algebraic expressions and formulas, and describe how the values change. Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons. They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems. They describe the relationships between the radius, diameter and circumference of a circle. Students classify polygons according to their features and design an algorithm to sort and classify shapes. They represent objects two-dimensionally in different ways, describing the usefulness of these representations. They use coordinates to describe transformations of points in the plane. Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays. They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning. Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events. They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results."
Mathematics,8,"By the end of Level 8, students recognise irrational numbers as numbers that cannot develop from the division of integer values by natural numbers and terminating or recurring decimals. They apply the exponent laws to calculations with numbers involving positive integer exponents. Students solve problems involving the 4 operations with integers and positive rational numbers. They use mathematical modelling to solve practical problems involving ratios, percentages and rates in measurement and financial contexts. Students apply algebraic properties to simplify, rearrange, expand and factorise linear expressions. They graph linear relations and solve linear equations with rational solutions and one-variable inequalities, graphically and algebraically. Students plot linear and non-linear relations on the Cartesian plane, with and without the use of digital tools. Students use mathematical modelling to solve problems using linear relations, interpreting and reviewing the model in context. They make and test conjectures involving linear relations by developing algorithms and using digital tools. Students use appropriate metric units when solving measurement problems involving the perimeter and area of composite shapes, and volume of right prisms. They use Pythagoras’ theorem to solve measurement problems involving unknown lengths of right-angled triangles. Students use formulas to solve problems involving the area and circumference of circles. They solve problems of duration involving 12- and 24-hour cycles across multiple time zones. Students use 3 dimensions to locate and describe position. They identify conditions for congruency and similarity in triangles and other common shapes, and design and test algorithms to test for congruency and similarity. Students apply the properties of quadrilaterals to solve problems. Students conduct statistical investigations and explain the implications of obtaining data through sampling. Students analyse and describe the distribution of data. They compare the variation in distributions of random samples of the same and different size from a given population with respect to shape, measures of central tendency and range. Students represent the possible combinations of 2 events with tables and diagrams, and determine related probabilities to solve practical problems. They conduct experiments or simulations using digital tools to determine related probabilities of compound events."
Mathematics,9,"By the end of Level 9, students recognise and use rational and irrational numbers to solve problems. Students extend and apply the exponent laws with positive integers and the zero exponent to variables. They expand binomial products and factorise monic quadratic expressions. They find the distance between 2 points on the Cartesian plane, sketch linear graphs and find the gradient and midpoint of a line segment. Students use mathematical modelling to solve problems involving change, including simple interest in financial contexts and change in other applied contexts, choosing to use linear and quadratic functions. They graph quadratic functions and use null factor law to solve monic quadratic equations with integer roots algebraically. Students investigate and describe the effects of variation of parameters on functions and relations, using digital tools where appropriate, and make connections between their graphical and algebraic representations. Students apply formulas to solve problems involving the surface area and volume of right prisms, cylinders and composite shapes. They solve problems involving ratio, similarity and scale in two-dimensional situations. They determine percentage errors in measurements. Students apply Pythagoras’ theorem and use trigonometric ratios to solve problems involving right-angled triangles. They use mathematical modelling to solve practical problems involving direct and indirect proportion, ratio and scale, evaluating the model and communicating their methods and findings. Students express small and large numbers in scientific notation. Students apply the enlargement transformation to images of shapes and objects, and interpret results. They design, use and test algorithms based on geometric constructions or theorems. Students compare and analyse the distributions of multiple numerical data sets, choose representations, describe features of these data sets using summary statistics and the shape of distributions, and consider the effect of outliers. They explain how sampling techniques and representation can be used to support or question conclusions or to promote a point of view. Students determine sets of outcomes for two-step chance experiments and represent these in various ways. They assign probabilities to the outcomes of two-step chance experiments. They design and conduct experiments or simulations for combined events using digital tools."
Mathematics,10,"By the end of Level 10, students recognise the effect of approximations of real numbers in repeated calculations. Students use mathematical modelling to solve problems involving growth and decay in financial and other applied situations, applying linear, quadratic and exponential functions as appropriate, and solve related equations, numerically and graphically. They make and test conjectures involving functions and relations using digital tools. Students substitute into formulas, find unknown values, manipulate linear and quadratic algebraic expressions, expand binomial expressions and factorise monic and simple non-monic quadratic expressions, with and without the use of digital tools. They solve problems involving linear equations and inequalities, quadratic equations and pairs of simultaneous linear equations and related graphs, algebraically and graphically, with and without the use of digital tools, and justify solutions. They represent linear, quadratic and exponential functions numerically, graphically and algebraically, and use them to model situations and solve practical problems. Students can design and implement simple algorithms using pseudocode or other general purpose programming language. Students solve measurement problems involving surface area and volume of composite objects. They interpret and use logarithmic scales representing small or large quantities or change in applied contexts. Students apply Pythagoras’ theorem and trigonometry to solve practical problems involving right-angled triangles. They identify the impact of measurement errors on the accuracy of results. Students use mathematical modelling to solve practical problems involving direct and inverse proportion and scaling, evaluating and modifying models, and reporting assumptions, methods and findings. Students use deductive reasoning, theorems and algorithms to solve spatial problems. They interpret networks used to represent practical situations and describe connectedness. Students compare univariate data sets by referring to summary statistics and the shape of their displays. They plan and conduct statistical investigations involving bivariate data, including where the independent variable is time. They represent the distribution of data involving 2 variables, using tables and scatterplots, and comment on possible association. They analyse inferences and conclusions in the media, noting potential sources of bias. Students compare the distribution of continuous numerical data, using various displays, and discuss distributions in terms of centre, spread, shape and outliers. Students apply conditional probability to solve problems involving compound events. They design and conduct simulations involving conditional probability, using digital tools."
